State,Total_Usage
Maharashtra,152856.5
Gujarat,113899.8
UP,111314.1
Tamil Nadu,105370.3
Rajasthan,77220.2
MP,73944.8
Karnataka,72101.5
Telangana,66629.8
Andhra Pradesh,62244.2
West Bengal,49337.0
Punjab,49182.1
Haryana,48499.0
Chhattisgarh,29810.5
Bihar,29657.0
Delhi,29155.2
Odisha,28626.7
Kerala,25442.3
J&K,15692.9
Uttarakhand,12763.3
HP,9393.4
Assam,8887.3
Jharkhand,8493.3
DNH,5799.5
Goa,3955.1
Pondy,2621.4
Meghalaya,1994.4
Tripura,1465.9
Chandigarh,1457.6
Manipur,882.8
Nagaland,766.5
Arunachal Pradesh,745.6
Mizoram,606.4
Sikkim,459.5
