CityType,State,Total_Usage
Metro,Maharashtra,215019.6
Metro,Tamil Nadu,149921.6
Metro,Karnataka,101690.3
Metro,Telangana,93245.5
Metro,West Bengal,69238.5
Metro,Delhi,41637.4
Non-Metro,Gujarat,161031.3
Non-Metro,UP,156584.5
Non-Metro,Rajasthan,108958.4
Non-Metro,MP,103736.6
Non-Metro,Andhra Pradesh,87751.6
Non-Metro,Punjab,70542.6
Non-Metro,Haryana,69085.8
Non-Metro,Chhattisgarh,41820.8
Non-Metro,Bihar,41478.3
Non-Metro,Odisha,40133.8
Non-Metro,Kerala,35956.9
Non-Metro,J&K,22042.4
Non-Metro,Uttarakhand,18051.7
Non-Metro,HP,13266.4
Non-Metro,Assam,12462.8
Non-Metro,Jharkhand,11880.6
Non-Metro,DNH,8218.7
Non-Metro,Goa,5528.5
Non-Metro,Pondy,3727.0
Non-Metro,Meghalaya,2815.1
Non-Metro,Chandigarh,2068.4
Non-Metro,Tripura,2038.4
Non-Metro,Manipur,1243.0
Non-Metro,Nagaland,1077.4
Non-Metro,Arunachal Pradesh,1052.5
Non-Metro,Mizoram,850.4
Non-Metro,Sikkim,641.7
